true_label,confidence
0,0.15238246
0,0.0
0,0.69694483
0,0.0
0,0.9210359
0,0.7592563
1,0.9987143
0,0.0
0,0.0
0,0.99978733
1,0.0
0,0.9999176
0,0.00527364
0,0.0
1,0.21039551
0,0.0
0,0.9999625
1,0.0
0,0.0
0,0.9825754
1,5.364418e-07
1,0.02103725
0,0.0
1,0.99997765
0,2.4527311e-05
0,1.0
0,0.022178084
0,0.0
0,0.9981221
0,0.0
0,0.0
0,0.0
0,0.9980031
1,0.9997343
0,0.4210627
1,0.98156846
0,0.0
0,0.0
0,0.0
0,0.0
1,0.99997306
1,0.0
0,0.9999944
1,0.5943066
0,0.9999783
1,0.0
0,0.00012335181
0,0.9999914
0,0.0
1,0.0
0,0.0
1,0.048489004
1,0.0
1,0.7161459
0,0.0
1,0.0
0,0.0
0,0.6744438
0,0.0
1,0.0
0,0.0017864406
0,0.0
1,0.0
0,0.0
1,9.23872e-07
1,0.0
0,0.8411571
1,0.0
0,0.0
1,0.0
1,2.8043985e-05
0,0.0
0,0.0
1,0.9975612
0,0.0
0,0.0
0,0.99714303
1,0.9998592
0,0.0
0,0.0
0,0.96163356
0,0.0
1,0.0006148815
0,0.9999994
1,0.0
1,2.682209e-07
1,0.0
0,0.999949
1,0.0
0,0.0011122525
1,0.99998504
0,0.0
1,0.0
0,4.2915344e-06
0,0.0
0,0.9698032
0,0.999447
0,0.98250216
0,0.99994266
1,0.8971741
1,0.055658847
1,0.0
0,0.9982995
0,0.0
0,0.0
0,0.9999974
1,0.13844791
0,0.0
1,0.0006337166
1,0.41015536
0,0.9999998
0,0.0
0,0.9996635
0,0.0
1,0.9842236
0,0.0
0,0.99999964
1,0.99665916
0,0.0
0,0.9982563
0,0.0
1,0.0
0,0.0
1,0.6863114
1,0.0
0,0.0
0,0.07258344
1,2.2053719e-06
0,0.8265555
0,0.9990786
1,0.0
0,0.0
0,0.99999994
0,0.013218343
1,0.0
1,0.0
0,0.0
0,0.0
1,0.9998852
0,0.0
0,0.011667103
0,0.9703892
0,0.00561586
0,0.999992
0,0.9999997
1,3.5762787e-07
1,0.9999944
1,0.0
1,0.60839146
0,1.4603138e-05
1,1.7881393e-07
1,0.0
1,0.9931266
0,0.755717
1,0.0
1,0.0
0,0.0
0,0.0
1,0.5070643
0,0.0
1,0.0
1,0.0
0,0.7607938
0,0.0
0,0.016443849
1,0.0
0,0.0
1,0.0
0,0.00021979213
1,1.5735626e-05
0,0.0
0,0.75144494
0,0.0
0,8.940697e-07
1,0.0
0,0.0
0,0.0
1,0.99994165
1,0.0
0,0.0
1,0.0
0,0.9895479
0,0.0
0,0.0
1,0.29625964
0,0.0
0,0.0
0,0.4303177
1,0.0
0,0.0
0,0.5621998
0,0.0
0,3.5762787e-07
0,0.0
0,0.0
0,0.9997501
0,0.00040724874
0,0.0
0,0.0
0,0.9999944
1,0.014231533
0,0.9999124
0,0.85127646
1,0.0
0,0.0
1,0.998711
0,0.0
0,0.002698511
1,0.0
0,0.0
0,1.1622906e-06
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0007045865
1,0.0
0,0.0
1,0.0025161505
1,8.34465e-07
1,0.0
0,0.0
0,0.9982416
0,0.0
1,0.9997201
0,0.4978479
0,0.99999094
0,0.7864079
0,0.91914153
0,0.0
0,0.0
0,0.9993795
0,0.0021491647
0,0.99994063
0,0.5154226
0,0.995707
1,0.0
0,0.051712066
1,0.0
0,0.0
0,0.0
1,0.2202034
1,0.999999
0,0.002855122
0,0.0
0,0.0
0,0.06621012
1,2.3841858e-07
1,6.0796738e-06
0,0.6829095
1,1.0
0,0.0
1,0.1328587
0,0.0
0,0.030803442
0,0.0
0,0.0
1,0.0005404055
0,0.022178084
0,0.0
0,0.72904277
1,0.99999404
0,0.0
0,0.0
0,0.0
0,0.0
0,0.9996414
1,0.84322304
0,0.0
0,0.0
0,0.0
1,0.994385
1,0.9905937
0,0.0
0,0.0
1,0.0
0,0.0
0,0.0
0,0.0
1,0.0
0,0.0
0,0.0
0,0.0
1,0.0
0,6.714463e-05
1,0.99999964
0,0.0
0,0.0
0,0.0
0,0.1598768
1,0.0
0,0.0
0,0.9875716
0,0.0053143203
0,0.0
0,0.0
0,0.35775006
0,0.8265555
0,0.0
0,0.9999987
0,0.99999833
0,0.0
1,0.36649925
0,0.007947534
0,0.21976513
0,0.24720201
0,0.0
1,0.0
0,0.8492681
1,0.9978833
0,0.9997801
